lng,lat,owner,title,tags,descriptio,taken
18.110403,42.641052,79231740@N05,11,,,Tue Mar 24 13:05:21 CET 2009
18.110403,42.641052,79231740@N05,13,water;landscape;shore;вода;пейзаж;побережье,,Tue Mar 24 13:05:52 CET 2009
18.110403,42.641052,79231740@N05,12,,,Tue Mar 24 13:05:43 CET 2009
18.110403,42.641052,79231740@N05,9,,,Tue Mar 24 13:07:10 CET 2009
18.110403,42.641052,79231740@N05,4,,,Tue Mar 24 13:07:00 CET 2009
18.110403,42.641052,79231740@N05,18,landscape;shore;пейзаж;побережье,,Tue Mar 24 13:00:36 CET 2009
18.110403,42.641052,79231740@N05,17,rock;landscape;пейзаж;камни,,Tue Mar 24 13:00:34 CET 2009
18.110403,42.641052,79231740@N05,11,,,Tue Mar 24 13:07:14 CET 2009
18.110403,42.641052,79231740@N05,28,architecture;архитектура,,Tue Mar 24 12:00:22 CET 2009
18.110403,42.641052,79231740@N05,29,boat;vehicle;транспорт;лодка,,Tue Mar 24 12:00:25 CET 2009
18.110403,42.641052,79231740@N05,32,water;landscape;shore;вода;пейзаж;побережье,,Tue Mar 24 12:00:31 CET 2009
18.110403,42.641052,79231740@N05,35,water;landscape;style;shore;serene;вода;пейзаж;стиль;побережье;спокойный,,Tue Mar 24 12:00:37 CET 2009
18.110403,42.641052,79231740@N05,11,landscape;shore;пейзаж;побережье,,Tue Mar 24 11:59:46 CET 2009
18.110403,42.641052,79231740@N05,26,,,Tue Mar 24 13:06:24 CET 2009
18.110403,42.641052,79231740@N05,16,cloud;nature;landscape;shore;природа;пейзаж;облака;побережье,,Tue Mar 24 11:59:57 CET 2009
16.378126,43.487957,148472397@N06,Vízparti panoráma Slatine-n túl,,,Sun Feb 08 15:26:25 CET 2009
18.110403,42.641052,79231740@N05,28,landscape;shore;пейзаж;побережье,,Tue Mar 24 13:01:16 CET 2009
18.110403,42.641052,79231740@N05,29,road;дорога,,Tue Mar 24 13:01:20 CET 2009
18.110403,42.641052,79231740@N05,35,,,Tue Mar 24 13:01:52 CET 2009
18.110403,42.641052,79231740@N05,14,,,Tue Mar 24 13:00:23 CET 2009
18.110403,42.641052,79231740@N05,16,boat;vehicle;транспорт;лодка,,Tue Mar 24 13:00:31 CET 2009
18.110403,42.641052,79231740@N05,34,road;building;architecture;дорога;архитектура;строения,,Tue Mar 24 12:55:04 CET 2009
18.110403,42.641052,79231740@N05,28,,,Tue Mar 24 12:54:51 CET 2009
18.110403,42.641052,79231740@N05,27,water;landscape;shore;вода;пейзаж;побережье,,Tue Mar 24 13:01:14 CET 2009
