field_1,lng,lat,owner,title,tags,taken
3333,17.359487999999999,42.768852000000003,42423795@N00,Croatia_Dubrovnik_20_Mljet_Mai_2015_133,"croatia;dubrovnik;mljet",Fri May 15 17:23:11 CEST 2015
3302,18.066573999999999,42.656661999999997,42423795@N00,Croatia_Dubrovnik_18_Cave_Bar_Nightclub_Mai_2015_008,"bar;croatia;nightclub;cave;dubrovnik",Thu May 14 20:30:07 CEST 2015
3303,18.066573999999999,42.656661999999997,42423795@N00,Croatia_Dubrovnik_18_Cave_Bar_Nightclub_Mai_2015_007,"bar;croatia;nightclub;cave;dubrovnik",Thu May 14 20:30:00 CEST 2015
3304,18.066573999999999,42.656661999999997,42423795@N00,Croatia_Dubrovnik_18_Cave_Bar_Nightclub_Mai_2015_006,"bar;croatia;nightclub;cave;dubrovnik",Thu May 14 20:29:37 CEST 2015
3305,18.065866000000000,42.656759999999998,42423795@N00,Croatia_Dubrovnik_18_Cave_Bar_Nightclub_Mai_2015_004,"bar;croatia;nightclub;cave;dubrovnik",Thu May 14 20:28:35 CEST 2015
3306,18.065866000000000,42.656759999999998,42423795@N00,Croatia_Dubrovnik_18_Cave_Bar_Nightclub_Mai_2015_003,"bar;croatia;nightclub;cave;dubrovnik",Thu May 14 20:28:34 CEST 2015
4840,15.222791000000001,44.115049999999997,162079325@N03,DSC00630,,Mon May 18 21:06:00 CEST 2015
4841,15.222791000000001,44.115049999999997,162079325@N03,DSC00631,,Mon May 18 21:06:13 CEST 2015
4842,15.222791000000001,44.115049999999997,162079325@N03,DSC00633,,Mon May 18 21:06:33 CEST 2015
4843,15.222791000000001,44.115049999999997,162079325@N03,DSC00634,,Mon May 18 21:51:53 CEST 2015
4844,15.222791000000001,44.115049999999997,162079325@N03,DSC00635,,Mon May 18 21:51:59 CEST 2015
4845,15.222791000000001,44.115049999999997,162079325@N03,DSC00636,,Mon May 18 21:52:06 CEST 2015
4846,15.222791000000001,44.115049999999997,162079325@N03,DSC00637,,Mon May 18 21:53:07 CEST 2015
4847,15.222791000000001,44.115049999999997,162079325@N03,DSC00640,,Mon May 18 21:53:36 CEST 2015
4848,15.222791000000001,44.115049999999997,162079325@N03,DSC00641,,Mon May 18 21:53:45 CEST 2015
4849,15.222791000000001,44.115049999999997,162079325@N03,DSC00642,,Mon May 18 21:55:01 CEST 2015
4850,15.222791000000001,44.115049999999997,162079325@N03,DSC00643,,Mon May 18 21:55:08 CEST 2015
3318,17.360154999999999,42.769221999999999,42423795@N00,Croatia_Dubrovnik_20_Mljet_Mai_2015_151,"croatia;dubrovnik;mljet",Fri May 15 17:36:11 CEST 2015
