field_1,lng,lat,owner,title,tags,taken
8518,18.108559000000000,42.640903000000002,59487880@N00,The Church of the Savior,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;building;church;architecture;dalmacija;balkan",Sun Jun 03 09:30:40 CEST 2018
8519,18.108559000000000,42.640903000000002,59487880@N00,Lean,"croatia;dubrovnik;adriatic;hrvatska;dalmatia;jadran;dalmacija;balkan",Sun Jun 03 10:05:13 CEST 2018
8520,18.108559000000000,42.640903000000002,59487880@N00,Collegium Ragusinum,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;church;dalmacija;balkan",Sun Jun 03 10:17:00 CEST 2018
8521,18.108559000000000,42.640903000000002,59487880@N00,Rector's Palace,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 10:06:23 CEST 2018
8522,18.108559000000000,42.640903000000002,59487880@N00,Stradun,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 10:23:24 CEST 2018
8523,18.108559000000000,42.640903000000002,59487880@N00,Assumption Cathedral,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 10:06:40 CEST 2018
8354,16.442820000000001,43.168456999999997,82103247@N00,Green water and boats,"silversea;cruising;adriatic;sea;silverwhisper;splitdalmatia;croatia;hvarisland;hvar",Fri Jun 01 14:42:13 CEST 2018
8355,16.441275000000001,43.172535000000003,82103247@N00,Punishment,"silversea;cruising;adriatic;sea;silverwhisper;splitdalmatia;croatia;hvarisland;hvar",Fri Jun 01 13:34:33 CEST 2018
8526,18.108559000000000,42.640903000000002,59487880@N00,Stairs,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 09:16:33 CEST 2018
8527,18.108559000000000,42.640903000000002,59487880@N00,Pink flowers and orange rooftops,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;flowers;architecture;dalmacija;balkan",Sun Jun 03 09:15:44 CEST 2018
8528,18.108559000000000,42.640903000000002,59487880@N00,Pit,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 09:13:54 CEST 2018
8529,18.108559000000000,42.640903000000002,59487880@N00,"Pink flowers, orange rooftops and palm trees","croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 09:18:12 CEST 2018
8530,18.111391000000001,42.649549999999998,59487880@N00,Dubrovnik & Lokrum,"dalmatia;adriatic;jadran;dalmacija;dubrovnik;island;balkan;sunset;cablecar;žičara",Sat Jun 02 20:00:07 CEST 2018
8531,18.111391000000001,42.649549999999998,59487880@N00,Lokrum,"dalmatia;adriatic;jadran;dalmacija;dubrovnik;island;balkan;sunset;cablecar;žičara",Sat Jun 02 19:59:53 CEST 2018
8532,18.108559000000000,42.640903000000002,59487880@N00,Dubrovnik Cathedral,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;church;architecture;dalmacija;balkan",Sun Jun 03 10:07:07 CEST 2018
8533,18.108559000000000,42.640903000000002,59487880@N00,Crkva Sv. Ignacije,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;architecture;dalmacija;balkan;church",Sun Jun 03 10:15:25 CEST 2018
8534,18.108559000000000,42.640903000000002,59487880@N00,Lovrijenac Fortress,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;cliff;dalmacija;balkan",Sun Jun 03 09:22:05 CEST 2018
8535,18.108559000000000,42.640903000000002,59487880@N00,The wall and the sea,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 09:21:59 CEST 2018
8536,18.108559000000000,42.640903000000002,59487880@N00,Oranges,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 09:25:56 CEST 2018
8537,18.108559000000000,42.640903000000002,59487880@N00,Through the clover,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 09:25:42 CEST 2018
8538,18.108559000000000,42.640903000000002,59487880@N00,Under the tree,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 09:12:23 CEST 2018
8539,18.108559000000000,42.640903000000002,59487880@N00,Minceta Tower,"croatia;dubrovnik;adriatic;hrvatska;jadran;dalmatia;dalmacija;balkan",Sun Jun 03 09:13:35 CEST 2018
8377,16.514230000000001,43.184165999999998,24427679@N03,42430120362_c61517b11d_o copy,,Thu May 31 21:12:55 CEST 2018
8378,16.514379999999999,43.184086000000001,24427679@N03,IMG-1049 copy,,Thu May 31 18:43:03 CEST 2018
8338,15.205961000000000,44.082500000000003,84011918@N07,Pasman Island Croatia,"pasman;island;zadar;croatia",Wed May 30 12:53:09 CEST 2018
8339,15.205961000000000,44.082500000000003,84011918@N07,Pasman Island Croatia,"pasman;island;zadar;croatia",Wed May 30 13:51:17 CEST 2018
8340,16.255400000000002,43.505153999999997,84011918@N07,Rozac Trogir Croatia,"rozac;trogir;croatia",Fri Jun 01 14:44:09 CEST 2018
8341,16.207730000000002,43.492187999999999,84011918@N07,Rozac Trogir Croatia,"okrug;rozac;trogir;croatia",Sun Jun 03 14:53:29 CEST 2018
8342,16.229099999999999,43.496074999999998,84011918@N07,Rozac Trogir Croatia,"rozac;trogir;croatia",Sun Jun 03 16:09:40 CEST 2018
8344,16.420318999999999,43.169227999999997,82103247@N00,Sunny morning with tea,"montenegro;cruising;silverwhisper;silversea;bayofkotor;inlets;sea;ships",Sat Jun 02 06:50:44 CEST 2018
8345,16.420318999999999,43.169227999999997,82103247@N00,And focussing on outdoors ...,"montenegro;cruising;silverwhisper;silversea;bayofkotor;inlets;sea;ships",Sat Jun 02 06:51:01 CEST 2018
8347,16.422028000000001,43.169147000000002,82103247@N00,In La Terrazza,"silversea;cruising;adriatic;sea;silverwhisper;splitdalmatia;croatia;dining;laterraza;restaurants",Fri Jun 01 19:04:09 CEST 2018
8348,16.420921000000000,43.169846000000000,82103247@N00,Ready for dinner,"silversea;cruising;adriatic;sea;silverwhisper;splitdalmatia;croatia",Fri Jun 01 18:57:29 CEST 2018
8349,16.420912000000001,43.169879999999999,82103247@N00,Ready for dinner,"silversea;cruising;adriatic;sea;silverwhisper;splitdalmatia;croatia",Fri Jun 01 18:57:18 CEST 2018
8350,16.443066000000002,43.172229999999999,82103247@N00,Wedding party arrives,"silversea;cruising;adriatic;sea;silverwhisper;splitdalmatia;croatia;hvarisland;hvar;cathedrals;katedralasvstjepana",Fri Jun 01 15:13:58 CEST 2018
8351,16.443066000000002,43.172229999999999,82103247@N00,Wedding in Cathedral,"silversea;cruising;adriatic;sea;silverwhisper;splitdalmatia;croatia;hvarisland;hvar;cathedrals;katedralasvstjepana",Fri Jun 01 15:13:50 CEST 2018
8352,16.442955000000001,43.172690000000003,82103247@N00,"Narrow street, Hvar","silversea;cruising;adriatic;sea;silverwhisper;splitdalmatia;croatia;hvarisland;hvar;hvaroldtown",Fri Jun 01 15:24:58 CEST 2018
8353,16.440854999999999,43.170192999999998,82103247@N00,Heading back into town,"silversea;cruising;adriatic;sea;silverwhisper;splitdalmatia;croatia;hvarisland;hvar",Fri Jun 01 14:52:58 CEST 2018
8446,17.051167000000000,43.271377999999999,63261427@N00,Tucepi,"tucepi;strand;beach;kroatien;croatia",Sat Jun 09 12:35:55 CEST 2018
8447,17.058461999999999,43.264069999999997,63261427@N00,Tucepi,"tucepi;strand;beach;meer;ocean",Sat Jun 09 12:37:32 CEST 2018
8356,16.419782999999999,43.168689999999998,82103247@N00,Approaching Hvar Island,"silversea;cruising;adriatic;sea;silverwhisper;splitdalmatia;croatia",Fri Jun 01 11:14:29 CEST 2018
8357,15.896815999999999,43.294409999999999,82103247@N00,The wake,"silversea;cruising;adriatic;sea;silverwhisper;wake",Fri Jun 01 09:10:31 CEST 2018
8358,15.857283000000001,43.304381999999997,82103247@N00,Morning onboard,"silversea;cruising;adriatic;sea;silverwhisper;swimmingpool;onboard;decks",Fri Jun 01 09:02:22 CEST 2018
